step,current_phase,phase_timer,requested_action,action_valid,safe_action,mask_ph0,mask_ph1,mask_ph2,mask_ph3,yellow_active,violations_intercepted
130,0,7,2,0,0,1,0,0,0,1,88
131,0,7,0,1,0,1,0,0,0,1,88
132,0,7,2,0,0,1,0,0,0,1,89
133,0,0,1,0,0,1,0,0,0,0,90
134,0,1,2,0,0,1,0,0,0,0,91
135,0,2,3,0,0,1,0,0,0,0,92
136,0,3,0,1,0,1,0,0,0,0,92
137,0,4,3,0,0,1,0,0,0,0,93
138,0,5,1,1,1,1,1,1,1,0,93
139,0,5,3,0,0,1,0,0,0,1,94
140,0,5,1,0,0,1,0,0,0,1,95
141,0,5,1,0,0,1,0,0,0,1,96
142,0,0,3,0,0,1,0,0,0,0,97
143,0,1,2,0,0,1,0,0,0,0,98
144,0,2,0,1,0,1,0,0,0,0,98
145,0,3,2,0,0,1,0,0,0,0,99
146,0,4,3,0,0,1,0,0,0,0,100
147,0,5,1,1,1,1,1,1,1,0,100
148,0,5,3,0,0,1,0,0,0,1,101
149,0,5,2,0,0,1,0,0,0,1,102
150,0,5,1,0,0,1,0,0,0,1,103
151,0,0,0,1,0,1,0,0,0,0,103
152,0,1,2,0,0,1,0,0,0,0,104
153,0,2,0,1,0,1,0,0,0,0,104
154,0,3,3,0,0,1,0,0,0,0,105
155,0,4,2,0,0,1,0,0,0,0,106
156,0,5,1,1,1,1,1,1,1,0,106
157,0,5,0,1,0,1,0,0,0,1,106
158,0,5,2,0,0,1,0,0,0,1,107
159,0,5,0,1,0,1,0,0,0,1,107
160,0,0,1,0,0,1,0,0,0,0,108
161,0,1,3,0,0,1,0,0,0,0,109
162,0,2,3,0,0,1,0,0,0,0,110
163,0,3,3,0,0,1,0,0,0,0,111
164,0,4,3,0,0,1,0,0,0,0,112
165,0,5,2,1,2,1,1,1,1,0,112
166,0,5,0,1,0,1,0,0,0,1,112
167,0,5,3,0,0,1,0,0,0,1,113
168,0,5,3,0,0,1,0,0,0,1,114
169,0,0,3,0,0,1,0,0,0,0,115
170,0,1,2,0,0,1,0,0,0,0,116
171,0,2,0,1,0,1,0,0,0,0,116
172,0,3,2,0,0,1,0,0,0,0,117
173,0,4,1,0,0,1,0,0,0,0,118
174,0,5,3,1,3,1,1,1,1,0,118
175,0,5,1,0,0,1,0,0,0,1,119
176,0,5,1,0,0,1,0,0,0,1,120
177,0,5,0,1,0,1,0,0,0,1,120
178,0,0,3,0,0,1,0,0,0,0,121
179,0,1,3,0,0,1,0,0,0,0,122
180,0,2,0,1,0,1,0,0,0,0,122
181,0,3,1,0,0,1,0,0,0,0,123
182,0,4,1,0,0,1,0,0,0,0,124
183,0,5,1,1,1,1,1,1,1,0,124
184,0,5,3,0,0,1,0,0,0,1,125
185,0,5,0,1,0,1,0,0,0,1,125
186,0,5,1,0,0,1,0,0,0,1,126
187,0,0,0,1,0,1,0,0,0,0,126
188,0,1,0,1,0,1,0,0,0,0,126
189,0,2,3,0,0,1,0,0,0,0,127
190,0,3,3,0,0,1,0,0,0,0,128
191,0,4,0,1,0,1,0,0,0,0,128
192,0,5,2,1,2,1,1,1,1,0,128
